,Link,Job Title,Company,Rating,Location,Salary,Date
34,https://in.indeed.com/company/Farmable-distribution-pvt-ltd/jobs/Business-Analyst-577f8c41a1469434?fccid=ee6994e3adf3dd39&vjs=3,Business Analyst,Farmable distribution pvt ltd,N/A,"Bengaluru, Karnataka","₹20,000 - ₹50,000 a month",EmployerActive 2 days ago
35,https://in.indeed.com/rc/clk?jk=52d256b2f611a5f3&fccid=d09353e73c6d959c&vjs=3,Business Analyst (Data Migration),Netcracker Technology,3.5,"Bengaluru, Karnataka",N/A,PostedToday
36,https://in.indeed.com/rc/clk?jk=8ee10f34529917ff&fccid=2c62e4de04b8f952&vjs=3,Senior Data Analyst – ED&A,Nike,4.1,"Bengaluru, Karnataka",N/A,PostedToday
37,https://in.indeed.com/rc/clk?jk=f00621d7b4ff4fbd&fccid=9e215d88a6b33622&vjs=3,Splunk Engineer- Data Reporting- Senior Analyst,Deloitte,3.9,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
38,https://in.indeed.com/rc/clk?jk=44a9dfc2e1de201d&fccid=65ce5d56294acb59&vjs=3,Data Analyst,Bombay Play,N/A,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
39,https://in.indeed.com/rc/clk?jk=a0c89c2270e9b5f3&fccid=95fa2b94b684ec6b&vjs=3,Data Analyst I,Cerner Corporation,3.5,"Bengaluru, Karnataka",N/A,PostedPosted 2 days ago
40,https://in.indeed.com/company/TECHTORA-CONSULTANCY-PVT.-LTD./jobs/Data-Analyst-2db7c32258578b91?fccid=49bf29b96cab8f4f&vjs=3,Data Analyst,TECHTORA CONSULTANCY PVT. LTD.,N/A,"Bengaluru, Karnataka","₹10,00,001 - ₹16,00,001 a year",PostedPosted 30+ days ago
41,https://in.indeed.com/rc/clk?jk=1f918b7d400d00cf&fccid=19d4d302d6a29216&vjs=3,E-commerce Data Analyst,Kaliber Global,N/A,"Bengaluru, Karnataka",N/A,EmployerActive 5 days ago
42,https://in.indeed.com/company/prwatech-technologies/jobs/Data-Analyst-1439504dcd400b3d?fccid=0813ccde346809b2&vjs=3,Data Analyst,prwatech technologies,N/A,"Bengaluru, Karnataka","From ₹20,000 a month",EmployerActive 7 days ago
43,https://in.indeed.com/rc/clk?jk=f9861d04136a19ae&fccid=216eb700022de6f6&vjs=3,Data Digitalization Analyst,Hewlett Packard Enterprise,3.8,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
44,https://in.indeed.com/rc/clk?jk=a4b8a93e4f0de777&fccid=da3c7fed78dd1607&vjs=3,Data Science & Analytics - SESG Team,Samsung Electronics,4.0,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
45,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdBecNwvrHUtCml2fyFLgVE1sfQWF7pkveY6fi3tZEIR8v_wYWixq_bO8KiKCVALewkE8i88Ougzuj98dAl4NaiUBe01rDRPoFww8OC5T91DC4w1RK6LymsNJ_vl6pPn46Hm4RaAc3rY5C1Rk7cHLABD1iri0w33GK0k0e1qv5sQ_GBiSOE_GvCfd_5ks7MA8ydVjgGP_G1zo5PxspukcdLueKEevSOd9oSoCbfClTdbRRIANj98Yi5URiURlqxgXTFWQ8-N6m8nR0xIVuWCpCVjs9SayuOFNmdTdPLpCrDkjm6ZCXT8uMgv1QHyPqVpJuPojWwgaTwLwmPaFtqMIfFxhW9JejAPVOU22mtvR3la0_vAMXDlnSAOg-PDwBArX_zrQhvxZFy5JnvydAANintlBG3WmQCzaKrLafAfyRuQ9e8qtpzegFDSzx-C1mMVUT7JUvWqBC9KKQVGVVNtqHj2-Q9RVFS_rBPRVFCU7ZBUX84XdpLfsR4mUHVT2yQzr1RB1hDoC60ArOOsXXLWhEs324POMzWLS_XnFMw-F-5U4pAwKJydB4jsechwUswYAnX_Qsd3gN7iFn_8L6nsSb_g==&xkcb=SoB1-_M3VpKjG8wsbp0KbzkdCdPP&p=14&fvj=0&vjs=3,Senior Quantitative Analytics Specialist,WELLS FARGO BANK,3.7,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
46,https://in.indeed.com/rc/clk?jk=c56cb2c19b6eccc1&fccid=0de3a08506912bbe&vjs=3,Data Analyst,twid,N/A,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
47,https://in.indeed.com/company/Nobrokerhood/jobs/Quality-Analyst-9fd787ba9c5789cb?fccid=2fa2d672aa793f60&vjs=3,Quality Analyst,NoBrokerHood,N/A,"Bengaluru, Karnataka","Up to ₹40,00,000 a year",PostedPosted 30+ days ago
48,https://in.indeed.com/company/USDC-Global/jobs/Business-Analyst-610470164fc94cad?fccid=4a471c7dbf3f10cf&vjs=3,Business Analyst,USDC Projects India Private Limited,N/A,"Bengaluru, Karnataka","₹4,00,000 - ₹12,00,000 a year",PostedPosted 30+ days ago
49,https://in.indeed.com/company/volantis-technologies/jobs/Finance-Analyst-f1c87f3265b4982e?fccid=0ae7ae7e8ef410b0&vjs=3,Finance Analyst,Mojocare,N/A,"Bengaluru, Karnataka","₹5,00,000 - ₹6,50,000 a year",PostedPosted 30+ days ago
50,https://in.indeed.com/company/IQ-Hired/jobs/Business-Analyst-562209e25eaf0af4?fccid=a350039972b95aff&vjs=3,Business Analyst,IQ Hired,N/A,"Bengaluru, Karnataka","₹5,00,000 - ₹8,00,000 a year",PostedPosted 8 days ago
51,https://in.indeed.com/company/Simpel-Techlabs-Pvt.-Ltd./jobs/Business-Analyst-8d89f1b97620f6b5?fccid=fab59a62d4c3cdf6&vjs=3,Business Analyst,Simpel Techlabs Pvt. Ltd.,N/A,"Bengaluru, Karnataka","₹2,00,000 - ₹2,40,000 a year",PostedPosted 6 days ago
52,https://in.indeed.com/rc/clk?jk=c04ac4ced00013ca&fccid=99f1911f35fdb11e&vjs=3,Data Analyst,Encora,4.0,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
53,https://in.indeed.com/company/Finvisage/jobs/Data-Analyst-66b91098e8225317?fccid=4b18ef9609b5c5dc&vjs=3,Data Analyst,Finvisage,N/A,"Bengaluru, Karnataka","₹20,00,000 - ₹30,00,000 a year",PostedPosted 30+ days ago
54,https://in.indeed.com/rc/clk?jk=cd7142e29ed343a5&fccid=216eb700022de6f6&vjs=3,Client Receivables Analyst,Hewlett Packard Enterprise,3.8,"Bengaluru, Karnataka",N/A,PostedPosted 7 days ago
55,https://in.indeed.com/rc/clk?jk=24da58426baeb7eb&fccid=8dc4399ddb463d4a&vjs=3,Business Analyst - Data and Analytics,Schneider Electric,3.9,"Bengaluru, Karnataka",N/A,PostedPosted 26 days ago
56,https://in.indeed.com/rc/clk?jk=3baffbfba0796ffd&fccid=216eb700022de6f6&vjs=3,HR Analyst,Hewlett Packard Enterprise,3.8,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
57,https://in.indeed.com/rc/clk?jk=cb160382be454cec&fccid=2d181105260f6454&vjs=3,Research Analyst,LSEG (London Stock Exchange Group),3.7,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
58,https://in.indeed.com/rc/clk?jk=50582ce6d96630d5&fccid=0fdab4af157863d9&vjs=3,Lead Data Analyst,Discover Dollar,N/A,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
59,https://in.indeed.com/rc/clk?jk=9c9bf64a34127e39&fccid=4a3a2b1eb3ec0691&vjs=3,Quality Data Analyst,NatWest Group,3.7,"Bengaluru, Karnataka",N/A,PostedPosted 13 days ago
60,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdBecNwvrHUtCml2fyFLgVE1sfQWF7pkveY6fi3tZEIR8v_wYWixq_bO8KiKCVALewkE8i88Ougzuj98dAl4NaiUBe01rDRPoFww8OC5T91DCrmWK9ir8TGvjr9PEmMixLuYRSNJbxvnyqSmH4muF4zC-XZ4UcxphDdFA057RA-k5ZZbretk21_Fj5vt6qTmljBuErHl6AzD9AektWidx2srg_Y0rnawnlW8sdP87waehepKkh0zSIPjtGH90AZoq4gCAA6JvcOPmMu9nxE-Zas-6IDS1nh6KUHhBETer8scz1AfY0eEhIUs3LxXHCnEsvmlUbtHZHlHOHUNvtWvlDXPyS3ILZh5D9ZUyG-_RqzXVkiZ6GXoTWTth1BW0Bs0sJlHFmdY2c788vRvhIT1TD1v9wkXMDsufjKpuAS0t0cql0kaDXCfO3d_JxXlMockKAjzeD6LKien5krYz8AuMFH0d8TbkEWHG_5tEjtZ0UUC_XQ681AcrfeBpLNW7-QsW5IxP4cJF1tnSQi4hRuJVHeCjiyJLaHjWR9CJWdgYC_ZBtFiyNNUKmESKgpBChuSDCmN022aeBeQf6aHio9XTWGw==&xkcb=SoBF-_M3VpKiXjwsYx0LbzkdCdPP&p=14&fvj=0&vjs=3,Senior Quantitative Analytics Specialist,WELLS FARGO BANK,3.7,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
61,https://in.indeed.com/company/Rupeek-Fintech/jobs/Financial-Analyst-b7f817e3c2bc8b6f?fccid=443bae42dc0a8588&vjs=3,Financial Analyst,Rupeek Fintech Pvt. Ltd.,3.1,"Bengaluru, Karnataka","₹7,00,000 - ₹9,00,000 a year",EmployerActive 2 days ago
62,https://in.indeed.com/rc/clk?jk=faf6d794cce20671&fccid=ecbcf39e93faeaff&vjs=3,Data Analyst (AI/ML) - Analyst,Information Services Group,3.5,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
63,https://in.indeed.com/rc/clk?jk=d24e2ec22e664ceb&fccid=0fd9ce9ffb463e21&vjs=3,Data Analyst,Camsdata,N/A,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
64,https://in.indeed.com/company/SUMADHURA-Group/jobs/Business-Analyst-e3e4ce9bdab874a6?fccid=d33d482237a55aba&vjs=3,Business Analyst,SUMADHURA Group,4.0,"Bengaluru, Karnataka","₹20,000 - ₹35,000 a month",EmployerActive 2 days ago
65,https://in.indeed.com/rc/clk?jk=65a32f0fc645f8ee&fccid=c2a63affe8751868&vjs=3,Data Analyst,CAPCO,3.3,"Bengaluru, Karnataka",N/A,PostedPosted 7 days ago
